LAT,LONGITUDE,AREA,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM_PRED,MATTVEG,NEWCOUNTRYID,PREC_NEW
64,-90,5098.172,1748.071,1748.071,1748.071,1730.939,1730939,2251216,1748071,2205619,152,22,124,295.2
64,-89,5114.46,1702.223,1702.223,1702.223,1702.223,1729093,2223943,1702223,2212044,122,22,124,290.7
64,-88,1824.266,1655.139,1655.139,1655.139,1655.139,1754097,2223433,1655139,2222795,57,0,124,284
64,-87,1661.385,1593.638,1593.638,1593.638,1593.638,1706378,2157291,1593638,2156302,13,0,124,275.9
64,-86,5429.363,1560.709,1560.709,1560.709,1560.709,1684338,2145012,1560709,2143800,55,22,124,267.8
64,-85,5429.363,1513.464,1513.464,1513.464,1513.464,1648155,2122457,1513464,2120924,199,22,124,260.2
64,-82,928.4211,1394.369,1394.369,1394.369,1394.369,1533535,2041742,1394369,2039369,47,0,124,274.3
64,-81,130.3047,1358.205,1358.205,1358.205,1358.205,1485945,2004558,1358205,2001907,19,0,124,288.9
65,-117,5235.761,1196.872,1196.872,1196.872,1091.69,1091690,2135746,1196872,1723683,375,14,124,243.1
65,-116,5235.761,1240.473,1240.473,1240.473,1135.153,1135153,2140805,1240473,1734453,453,14,124,243.5
65,-115,5235.761,1284.7,1284.7,1284.7,1179.289,1179289,2147507,1284700,1747055,469,22,124,242.7
65,-114,5235.761,1327.799,1327.799,1327.799,1224.019,1224019,2155836,1327799,1761448,464,22,124,241.1
65,-113,5235.761,1370.939,1370.939,1370.939,1269.277,1269277,2165773,1370940,1777588,463,22,124,239.3
65,-112,5235.761,1414.708,1414.708,1414.708,1315.002,1315002,2177294,1414708,1795425,488,22,124,237.4
65,-111,5235.761,1459.044,1459.044,1459.044,1361.142,1361142,2190372,1459044,1814907,493,22,124,234.9
65,-110,5235.761,1503.89,1503.89,1503.89,1407.651,1407651,2204980,1503890,1835979,495,22,124,231.1
65,-109,5235.761,1549.199,1549.199,1549.199,1454.488,1454488,2221084,1549199,1858585,419,22,124,226.1
65,-108,5235.761,1594.925,1594.925,1594.925,1496.525,1496525,2238650,1594925,1882667,327,22,124,220.8
65,-107,5235.761,1641.028,1641.028,1641.028,1534.267,1534267,2257643,1641028,1908167,297,22,124,216
65,-106,5235.761,1687.471,1687.471,1687.471,1572.962,1572962,2278024,1687471,1935024,292,22,124,212.2
65,-105,5235.761,1734.223,1734.223,1734.223,1612.54,1612540,2299754,1734223,1963180,273,22,124,210.1
65,-104,5235.761,1781.253,1781.253,1781.253,1652.93,1652930,2322792,1781253,1992578,215,22,124,210.3
65,-103,5235.761,1828.534,1828.534,1828.534,1694.064,1694064,2347098,1828534,2023158,185,22,124,211.9
65,-102,5235.761,1876.042,1876.042,1876.042,1735.835,1735835,2372629,1876042,2054865,178,22,124,214.7
65,-101,5235.761,1923.755,1923.755,1923.755,1778.249,1778249,2399343,1923755,2087644,170,22,124,218.6
65,-100,5235.761,1970.103,1970.103,1970.103,1821.256,1821256,2427198,1970103,2121441,163,22,124,223.1
65,-99,5235.761,2015.556,2015.556,2015.556,1847.103,1847103,2456152,2015556,2156205,154,22,124,228.2
65,-98,5235.761,2061.368,2061.368,2061.368,1842.069,1842069,2486163,2061368,2191884,139,22,124,233.3
65,-97,5235.761,2042.349,2042.349,2042.349,1838.868,1838868,2517190,2042349,2228432,145,22,124,237.9
65,-96,5235.761,1995.651,1995.651,1995.651,1837.513,1837513,2521600,1995651,2265801,168,22,124,242.5
65,-95,5235.761,1948.9,1948.9,1948.9,1837.467,1837467,2489047,1948900,2303947,228,22,124,247.3
65,-94,5235.761,1902.099,1902.099,1902.099,1838.227,1838227,2457456,1902099,2303506,248,22,124,252.5
65,-93,5235.761,1855.249,1855.249,1855.249,1840.833,1840833,2426869,1855249,2303547,280,22,124,257.8
65,-92,5062.981,1809.267,1809.267,1809.267,1809.267,1843672,2396349,1809267,2303587,274,22,124,262.9
65,-91,5078.688,1762.026,1762.026,1762.026,1762.026,1841112,2367946,1762026,2307062,266,22,124,266.9
65,-90,3837.813,1718.319,1718.319,1718.319,1718.319,1831948,2336436,1718319,2305675,255,22,124,269.4
